Bots,Sensor,CommRange,Disable,FCD
25,0.75,0.35,0,[0.10092021 0.13295948 0.11215862 0.0856245 ]
25,0.75,0.35,10,[0.18099101 0.1453986  0.12523557 0.10816078]
25,0.75,0.35,15,[0.17630907 0.13637204 0.14817407 0.14177447]
25,0.75,0.35,16,[0.13997647 0.13380823 0.15630324 0.12554396]
25,0.75,0.35,17,[0.20059696 0.17565117 0.15789413 0.16051134]
25,0.75,0.35,18,[0.12993353 0.17762979 0.2166013  0.19982982]
25,0.75,0.35,19,[0.16412943 0.19564693 0.17177352 0.20061633]
25,0.75,0.35,20,[0.1588906  0.21888201 0.18867962 0.18427033]
25,0.75,0.35,21,[0.16700266 0.22684037 0.28198207 0.2422407 ]
25,0.75,0.35,22,[0.14960035 0.24964175 0.29481113 0.26504135]
25,0.75,0.35,23,[0.13440238 0.27579461 0.30912062 0.30776976]
25,0.75,0.35,24,[0.21878046 0.26815916 0.33993463 0.3       ]
25,0.75,0.65,0,[0.14871897 0.09615728 0.06731683 0.06064835]
25,0.75,0.65,10,[0.13659997 0.12105623 0.10460975 0.09417606]
25,0.75,0.65,15,[0.16858232 0.14108941 0.16411378 0.15423647]
25,0.75,0.65,16,[0.14961868 0.21129485 0.16907728 0.10993191]
25,0.75,0.65,17,[0.11506472 0.17132498 0.14766704 0.17260263]
25,0.75,0.65,18,[0.16894033 0.20193214 0.18325603 0.13375769]
25,0.75,0.65,19,[0.17795213 0.19239119 0.21487867 0.15918382]
25,0.75,0.65,20,[0.1748091  0.21037955 0.24184476 0.2548202 ]
25,0.75,0.65,21,[0.15545096 0.24542933 0.27938424 0.26874192]
25,0.75,0.65,22,[0.1947504  0.32132325 0.31130951 0.28738938]
25,0.75,0.65,23,[0.19537315 0.27909059 0.32489314 0.27080128]
25,0.75,0.65,24,[0.29587986 0.25443969 0.24944383 0.17950549]
25,0.99,0.35,0,[0.09684811 0.05239169 0.0244404  0.02612789]
25,0.99,0.35,10,[0.11462964 0.05883643 0.02484532 0.02845833]
25,0.99,0.35,15,[0.13030562 0.05078933 0.06674995 0.03      ]
25,0.99,0.35,16,[0.08938913 0.08373914 0.09771032 0.02771595]
25,0.99,0.35,17,[0.09538824 0.07835266 0.02243819 0.        ]
25,0.99,0.35,18,[0.09980314 0.05626626 0.05323966 0.02564362]
25,0.99,0.35,19,[0.09555582 0.07582991 0.06596854 0.        ]
25,0.99,0.35,20,[0.11146699 0.09436572 0.07916228 0.08537499]
25,0.99,0.35,21,[0.12967524 0.14287524 0.08498366 0.06236096]
25,0.99,0.35,22,[0.17999947 0.15275186 0.08314786 0.0598351 ]
25,0.99,0.35,23,[0.11612445 0.12397849 0.08975275 0.08975275]
25,0.99,0.35,24,[0.25199647 0.18274451 0.24944383 0.        ]
25,0.99,0.65,0,[0.0853854  0.0304339  0.02293953 0.00997775]
25,0.99,0.65,10,[0.08444558 0.04192874 0.02484532 0.01196709]
25,0.99,0.65,15,[0.07813379 0.06779053 0.         0.01795055]
25,0.99,0.65,16,[0.0771628  0.10006561 0.02771595 0.01994503]
25,0.99,0.65,17,[0.11289142 0.05938481 0.         0.        ]
25,0.99,0.65,18,[0.08750796 0.05463211 0.         0.        ]
25,0.99,0.65,19,[0.06920688 0.07090804 0.07114582 0.02991764]
25,0.99,0.65,20,[0.10039035 0.04519587 0.         0.        ]
25,0.99,0.65,21,[0.10684828 0.0256125  0.         0.        ]
25,0.99,0.65,22,[0.08671676 0.024      0.0598351  0.        ]
25,0.99,0.65,23,[0.13965036 0.09097252 0.1979057  0.08975275]
25,0.99,0.65,24,[0.06923069 0.02515728 0.         0.        ]
50,0.75,0.35,0,[0.0848109  0.07297184 0.0520726  0.05258221]
50,0.75,0.35,10,[0.08224033 0.11020688 0.08531396 0.08151772]
50,0.75,0.35,15,[0.1114729  0.09083551 0.08832545 0.06448127]
50,0.75,0.35,16,[0.09429842 0.08536858 0.11250604 0.07803821]
50,0.75,0.35,17,[0.09456717 0.09108655 0.10173981 0.07478152]
50,0.75,0.35,18,[0.08149494 0.11697273 0.08650225 0.08873141]
50,0.75,0.35,19,[0.10008939 0.08400638 0.08149387 0.08709019]
50,0.75,0.35,20,[0.09300495 0.10833051 0.09083978 0.07323227]
50,0.75,0.35,21,[0.07808063 0.10613429 0.07947683 0.07237736]
50,0.75,0.35,22,[0.10725559 0.09525744 0.09903866 0.09515613]
50,0.75,0.35,23,[0.10810691 0.10108791 0.13282944 0.08995409]
50,0.75,0.35,24,[0.11922859 0.09109085 0.09323774 0.07765662]
50,0.75,0.65,0,[0.0994563  0.07346655 0.04287449 0.02578544]
50,0.75,0.65,10,[0.08749365 0.07413595 0.05147815 0.03496029]
50,0.75,0.65,15,[0.08128921 0.06549641 0.04808349 0.05149916]
50,0.75,0.65,16,[0.09577374 0.07291891 0.05964291 0.06458689]
50,0.75,0.65,17,[0.08428991 0.08540114 0.0641155  0.05806977]
50,0.75,0.65,18,[0.12094665 0.07721283 0.04917947 0.05675889]
50,0.75,0.65,19,[0.10262908 0.11814555 0.09264804 0.07004941]
50,0.75,0.65,20,[0.11152811 0.08839199 0.09558794 0.06988538]
50,0.75,0.65,21,[0.12374355 0.10494781 0.09813291 0.07305862]
50,0.75,0.65,22,[0.12301296 0.10733889 0.06168694 0.08868048]
50,0.75,0.65,23,[0.11865576 0.11156358 0.11073313 0.08042707]
50,0.75,0.65,24,[0.10888402 0.09661184 0.08860078 0.07307692]
50,0.99,0.35,0,[0.06166577 0.03687818 0.02385139 0.01412641]
50,0.99,0.35,10,[0.07455125 0.04388875 0.03122499 0.01842779]
50,0.99,0.35,15,[0.05851439 0.04603748 0.0312404  0.02173842]
50,0.99,0.35,16,[0.05156842 0.04612269 0.03396182 0.02489888]
50,0.99,0.35,17,[0.07248424 0.04927685 0.02777316 0.02022724]
50,0.99,0.35,18,[0.07631738 0.04659861 0.01643722 0.01333984]
50,0.99,0.35,19,[0.05994938 0.04714791 0.03533687 0.03580816]
50,0.99,0.35,20,[0.07222909 0.0446247  0.03435472 0.02506782]
50,0.99,0.35,21,[0.06661096 0.04223001 0.04209152 0.02780071]
50,0.99,0.35,22,[0.08319099 0.03457689 0.03292695 0.01995607]
50,0.99,0.35,23,[0.06304174 0.04615019 0.03268689 0.00923865]
50,0.99,0.35,24,[0.08803769 0.05583762 0.02367471 0.01743786]
50,0.99,0.65,0,[0.03649049 0.02407396 0.         0.00359011]
50,0.99,0.65,10,[0.03651332 0.01902119 0.00931695 0.0062361 ]
50,0.99,0.65,15,[0.03710391 0.01906273 0.01064778 0.00512865]
50,0.99,0.65,16,[0.04696117 0.01820706 0.00733664 0.00733664]
50,0.99,0.65,17,[0.04724804 0.01644939 0.01293559 0.00543955]
50,0.99,0.65,18,[0.02436374 0.01528712 0.00560955 0.00779512]
50,0.99,0.65,19,[0.03179567 0.01643824 0.01609312 0.02107084]
50,0.99,0.65,20,[0.03301778 0.01754858 0.01511273 0.00598346]
50,0.99,0.65,21,[0.03818405 0.0250618  0.00618989 0.0103449 ]
50,0.99,0.65,22,[0.04111333 0.018163   0.01524556 0.00890864]
50,0.99,0.65,23,[0.04749283 0.0163341  0.02358636 0.00664834]
50,0.99,0.65,24,[0.02610465 0.03192284 0.02006728 0.        ]
